=== 农田灌溉用水异常分析报告 ===
生成时间,2026-06-09T12:48:08.406358
规则版本,1.0.0

汇总统计
异常总数,35

异常ID,异常代码,异常类型,描述,地块编号,地块名称,严重程度,规则版本,批次号,检测时间,是否复核,复核结果,是否误报,复核备注,扩展信息
21,DUPLICATE_REPORT,重复上报,重复上报: 第8行 重复上报: 地块 P001 在 2025-06-12 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.508211,否,,否,,"{""source_row"": 8, ""error"": ""第8行 重复上报: 地块 P001 在 2025-06-12 08:00:00 的读数已存在""}"
20,DUPLICATE_REPORT,重复上报,重复上报: 第7行 重复上报: 地块 P001 在 2025-06-11 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.507807,否,,否,,"{""source_row"": 7, ""error"": ""第7行 重复上报: 地块 P001 在 2025-06-11 08:00:00 的读数已存在""}"
19,DUPLICATE_REPORT,重复上报,重复上报: 第6行 重复上报: 地块 P001 在 2025-06-05 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.507368,否,,否,,"{""source_row"": 6, ""error"": ""第6行 重复上报: 地块 P001 在 2025-06-05 08:00:00 的读数已存在""}"
18,DUPLICATE_REPORT,重复上报,重复上报: 第5行 重复上报: 地块 P001 在 2025-06-04 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.506954,否,,否,,"{""source_row"": 5, ""error"": ""第5行 重复上报: 地块 P001 在 2025-06-04 08:00:00 的读数已存在""}"
17,DUPLICATE_REPORT,重复上报,重复上报: 第4行 重复上报: 地块 P001 在 2025-06-03 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.506527,否,,否,,"{""source_row"": 4, ""error"": ""第4行 重复上报: 地块 P001 在 2025-06-03 08:00:00 的读数已存在""}"
16,DUPLICATE_REPORT,重复上报,重复上报: 第3行 重复上报: 地块 P001 在 2025-06-02 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.505979,否,,否,,"{""source_row"": 3, ""error"": ""第3行 重复上报: 地块 P001 在 2025-06-02 08:00:00 的读数已存在""}"
15,DUPLICATE_REPORT,重复上报,重复上报: 第2行 重复上报: 地块 P001 在 2025-06-01 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.503971,否,,否,,"{""source_row"": 2, ""error"": ""第2行 重复上报: 地块 P001 在 2025-06-01 08:00:00 的读数已存在""}"
14,OVER_PLAN,超计划用水,地块 P001 2025年6月超计划用水: 实际用水 110.00方，计划 50.00方，超计划 120.0%,P001,东一号地块,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.167003,否,,否,,"{""year"": 2025, ""month"": 6, ""plan_water"": 50.0, ""actual_usage"": 110.0, ""ratio"": 2.2, ""over_ratio"": 1.2, ""first_reading"": 100.0, ""last_reading"": 210.0, ""first_datetime"": ""2025-06-01T08:00:00"", ""last_datetime"": ""2025-06-15T08:00:00"", ""ratio_threshold"": 1.2}"
13,MISSING_READING,漏采,地块 P003 存在漏采: 2025-06-02 10:00:00 至 2025-06-04 16:00:00 间隔 54.0 小时，超过阈值 25 小时,P003,南三号地块,medium,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.166568,否,,否,,"{""gap_hours"": 54.0, ""max_allowed_hours"": 25, ""prev_datetime"": ""2025-06-02T10:00:00"", ""curr_datetime"": ""2025-06-04T16:00:00"", ""missing_from"": ""2025-06-03T11:00:00"", ""missing_to"": ""2025-06-04T16:00:00""}"
12,MISSING_READING,漏采,地块 P001 存在漏采: 2025-06-05 08:00:00 至 2025-06-11 08:00:00 间隔 144.0 小时，超过阈值 25 小时,P001,东一号地块,medium,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.166111,否,,否,,"{""gap_hours"": 144.0, ""max_allowed_hours"": 25, ""prev_datetime"": ""2025-06-05T08:00:00"", ""curr_datetime"": ""2025-06-11T08:00:00"", ""missing_from"": ""2025-06-06T09:00:00"", ""missing_to"": ""2025-06-11T08:00:00""}"
11,METER_BACKWARD,倒表,地块 P002 发现倒表现象: 2025-06-04 09:00:00 读数 180.0 小于 2025-06-03 09:00:00 读数 206.0，差值 -26.00,P002,西二号地块,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.165686,否,,否,,"{""prev_reading"": 206.0, ""curr_reading"": 180.0, ""prev_datetime"": ""2025-06-03T09:00:00"", ""curr_datetime"": ""2025-06-04T09:00:00"", ""difference"": -26.0}"
10,DUPLICATE_REPORT,重复上报,重复上报: 第21行 重复上报: 地块 P004 在 2025-06-02 11:00:00 的读数已存在,P004,北四号地块,medium,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.165273,否,,否,,"{""source_row"": 21, ""error"": ""第21行 重复上报: 地块 P004 在 2025-06-02 11:00:00 的读数已存在""}"
9,READING_CONFLICT,读数冲突,"读数冲突: 第22行 [水表读数] 同一地块同一时刻读数冲突: 已有读数=400.0, 当前读数=410.0",P004,北四号地块,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.164867,否,,否,,"{""source_row"": 22, ""error"": ""第22行 [水表读数] 同一地块同一时刻读数冲突: 已有读数=400.0, 当前读数=410.0""}"
8,INVALID_DATE,日期格式错误,"日期格式错误: 第25行 [读数日期] 日期格式错误: '2025-13-01'，支持的格式: YYYY-MM-DD, YYYY/MM/DD",,,medium,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.164476,否,,否,,"{""source_row"": 25, ""error"": ""第25行 [读数日期] 日期格式错误: '2025-13-01'，支持的格式: YYYY-MM-DD, YYYY/MM/DD""}"
7,MISSING_PARCEL_ID,缺少地块编号,缺少地块编号，第24行数据未提供有效地块编号,,,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.164061,否,,否,,"{""source_row"": 24}"
6,INVALID_REFERENCE,引用不存在地块,引用不存在的地块 'P888',P888,P888,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.163646,否,,否,,"{""source_row"": 26, ""parcel_id"": ""P888""}"
5,INVALID_REFERENCE,引用不存在地块,引用不存在的地块 'P999',P999,P999,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.163200,否,,否,,"{""source_row"": 23, ""parcel_id"": ""P999""}"
4,INVALID_REFERENCE,引用不存在地块,引用不存在的地块 'P888',P888,P888,high,1.0.0,BATCH20260609124244DF87,2026-06-09T12:42:46.162766,否,,否,,"{""source_row"": 8, ""parcel_id"": ""P888""}"
3,UNKNOWN_PARCEL,未知地块,未知地块 'P888'，该地块编号未在地块台账中登记,P888,P888,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.162357,否,,否,,"{""source_row"": 26, ""parcel_id"": ""P888""}"
2,UNKNOWN_PARCEL,未知地块,未知地块 'P999'，该地块编号未在地块台账中登记,P999,P999,high,1.0.0,BATCH20260609124244A608,2026-06-09T12:42:46.161822,否,,否,,"{""source_row"": 23, ""parcel_id"": ""P999""}"
1,UNKNOWN_PARCEL,未知地块,未知地块 'P888'，该地块编号未在地块台账中登记,P888,P888,high,1.0.0,BATCH20260609124244DF87,2026-06-09T12:42:46.159981,否,,否,,"{""source_row"": 8, ""parcel_id"": ""P888""}"
